City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Pevek,RU,2022-01-30 22:54:18,69.7008,170.3133,-15.7,97,96,2.19,overcast clouds,0,0
1,Tiksi,RU,2022-01-30 22:54:19,71.6872,128.8694,-18.49,100,96,3.87,overcast clouds,0,0
2,Kodiak,US,2022-01-30 22:54:19,57.79,-152.4072,28.47,78,45,5.93,scattered clouds,0,0
3,Hithadhoo,MV,2022-01-30 22:54:20,-0.6,73.0833,81.55,70,76,8.93,broken clouds,0,0
4,Puerto Del Rosario,ES,2022-01-30 22:54:20,28.5004,-13.8627,65.88,68,0,11.5,haze,0,0
5,Puerto Ayora,EC,2022-01-30 22:54:21,-0.7393,-90.3518,82.36,75,100,8.46,overcast clouds,0,0
6,Itoman,JP,2022-01-30 22:54:21,26.1247,127.6694,59.02,53,40,24.16,scattered clouds,0,0
7,Lensk,RU,2022-01-30 22:54:22,60.7253,114.9278,-7.13,98,98,3.44,overcast clouds,0,0
8,Bagepalli,IN,2022-01-30 22:54:22,13.7847,77.7931,70.14,84,4,4.36,clear sky,0,0
9,Boca Do Acre,BR,2022-01-30 22:54:23,-8.7522,-67.3978,74.62,95,90,0.4,overcast clouds,0,0
10,Hilo,US,2022-01-30 22:54:23,19.7297,-155.09,79.11,64,69,4.0,broken clouds,0,0
11,Rikitea,PF,2022-01-30 22:54:24,-23.1203,-134.9692,76.86,70,100,5.06,overcast clouds,0,0
12,Canandaigua,US,2022-01-30 22:54:25,42.8742,-77.288,18.39,71,68,2.46,broken clouds,0,0
13,Lompoc,US,2022-01-30 22:53:41,34.6391,-120.4579,72.21,49,0,19.57,clear sky,0,0
14,Mataura,NZ,2022-01-30 22:54:26,-46.1927,168.8643,72.48,58,46,1.7,scattered clouds,0,0
15,Tasiilaq,GL,2022-01-30 22:54:26,65.6145,-37.6368,-3.75,53,97,10.58,overcast clouds,0,0
16,Helena,US,2022-01-30 22:51:52,46.5927,-112.0361,45.99,48,100,0.0,overcast clouds,0,0
17,Pierre,US,2022-01-30 22:52:20,44.3683,-100.351,43.72,49,0,1.01,clear sky,0,0
18,Asau,RO,2022-01-30 22:54:28,46.4333,26.4,40.39,65,99,16.69,overcast clouds,0,0
19,Maceio,BR,2022-01-30 22:52:49,-9.6658,-35.7353,81.84,83,20,4.61,few clouds,0,0
20,Port Alfred,ZA,2022-01-30 22:52:12,-33.5906,26.891,73.4,89,98,16.98,overcast clouds,0,0
21,Georgetown,MY,2022-01-30 22:54:29,5.4112,100.3354,80.89,94,20,3.0,few clouds,0,0
22,Desaguadero,PE,2022-01-30 22:54:30,-16.5656,-69.0417,52.65,68,88,8.9,overcast clouds,0,0
23,Barrow,US,2022-01-30 22:50:42,71.2906,-156.7887,-7.58,84,100,10.36,snow,0,0
24,Hofn,IS,2022-01-30 22:54:31,64.2539,-15.2082,26.15,51,1,20.49,clear sky,0,0
25,Leningradskiy,RU,2022-01-30 22:54:31,69.3833,178.4167,-14.48,95,81,3.74,broken clouds,0,0
26,Kahului,US,2022-01-30 22:51:01,20.8947,-156.47,82.42,53,20,18.41,few clouds,0,0
27,Butaritari,KI,2022-01-30 22:54:32,3.0707,172.7902,82.11,76,22,20.94,few clouds,0,0
28,Ushuaia,AR,2022-01-30 22:54:13,-54.8,-68.3,46.06,66,75,29.93,broken clouds,0,0
29,Kapaa,US,2022-01-30 22:54:11,22.0752,-159.319,81.12,83,10,1.01,clear sky,0,0
30,Busselton,AU,2022-01-30 22:54:33,-33.65,115.3333,64.09,61,92,17.98,overcast clouds,0,0
31,Kloulklubed,PW,2022-01-30 22:49:45,7.0419,134.2556,75.7,73,98,14.25,overcast clouds,0,0
32,Chuy,UY,2022-01-30 22:51:09,-33.6971,-53.4616,71.64,72,16,14.05,few clouds,0,0
33,Grand Forks,US,2022-01-30 22:50:11,47.9417,-97.4337,15.48,82,75,16.11,mist,0,0
34,Hermanus,ZA,2022-01-30 22:54:35,-34.4187,19.2345,71.91,86,97,12.84,overcast clouds,0,0
35,Bluff,NZ,2022-01-30 22:54:35,-46.6,168.3333,72.81,84,91,4.54,overcast clouds,0,0
36,Camacha,PT,2022-01-30 22:54:36,33.0833,-16.3333,61.56,82,20,17.27,few clouds,0,0
37,Punta Arenas,CL,2022-01-30 22:50:59,-53.15,-70.9167,51.91,50,75,23.02,broken clouds,0,0
38,Port Elizabeth,ZA,2022-01-30 22:54:37,-33.918,25.5701,70.09,94,20,11.5,few clouds,0,0
39,Atuona,PF,2022-01-30 22:54:39,-9.8,-139.0333,78.19,77,12,14.38,light rain,0,0
40,Pocatello,US,2022-01-30 22:54:39,42.8713,-112.4455,24.85,60,45,1.99,scattered clouds,0,0
41,Dingle,PH,2022-01-30 22:54:40,10.9995,122.6711,75.38,92,55,4.34,broken clouds,0,0
42,Balikpapan,ID,2022-01-30 22:54:41,-1.2675,116.8289,76.19,94,20,5.75,heavy intensity rain,0,0
43,Dikson,RU,2022-01-30 22:54:42,73.5069,80.5464,-4.4,94,100,21.59,overcast clouds,0,0
44,Thiruvananthapuram,IN,2022-01-30 22:54:42,8.4833,76.9167,78.78,89,20,3.44,mist,0,0
45,Nouadhibou,MR,2022-01-30 22:54:43,20.931,-17.0347,66.18,59,100,17.27,overcast clouds,0,0
46,Gobo,JP,2022-01-30 22:54:43,33.8833,135.15,42.75,77,80,12.01,broken clouds,0,0
47,Narodychi,UA,2022-01-30 22:54:44,51.2029,29.0823,30.96,94,100,17.43,light snow,0,0
48,Fort-Shevchenko,KZ,2022-01-30 22:54:45,44.5086,50.263,37.6,82,92,6.85,overcast clouds,0,0
49,Ponta Do Sol,PT,2022-01-30 22:54:46,32.6667,-17.1,65.12,39,1,9.64,clear sky,0,0
50,Digoin,FR,2022-01-30 22:54:46,46.4812,3.9795,39.29,93,100,0.0,overcast clouds,0,0
51,Borogontsy,RU,2022-01-30 22:54:48,62.6683,131.1683,-37.79,100,72,0.4,broken clouds,0,0
52,Akalkot,IN,2022-01-30 22:54:49,17.5333,76.2167,68.61,25,0,7.52,clear sky,0,0
53,New Norfolk,AU,2022-01-30 22:54:49,-42.7826,147.0587,72.66,49,3,2.62,clear sky,0,0
54,Cape Town,ZA,2022-01-30 22:52:15,-33.9258,18.4232,73.81,76,0,4.0,clear sky,0,0
55,Jamestown,US,2022-01-30 22:53:38,42.097,-79.2353,19.04,55,100,1.01,overcast clouds,0,0
56,Grao Mogol,BR,2022-01-30 22:54:51,-16.5594,-42.8897,66.74,91,100,2.89,overcast clouds,0,0
57,Lerwick,GB,2022-01-30 22:54:51,60.1545,-1.1494,39.2,97,100,10.13,overcast clouds,0,0
58,East London,ZA,2022-01-30 22:54:11,-33.0153,27.9116,74.66,83,86,14.65,overcast clouds,0,0
59,Tuktoyaktuk,CA,2022-01-30 22:54:52,69.4541,-133.0374,-0.4,85,100,24.16,light snow,0,0
60,Athmallik,IN,2022-01-30 22:54:52,20.7219,84.5348,55.89,39,2,0.47,clear sky,0,0
61,Ostrovnoy,RU,2022-01-30 22:54:53,68.0531,39.5131,8.6,97,95,8.48,overcast clouds,0,0
62,Clyde River,CA,2022-01-30 22:54:54,70.4692,-68.5914,-21.77,76,40,4.61,scattered clouds,0,0
63,Dunedin,NZ,2022-01-30 22:54:55,-45.8742,170.5036,68.81,70,1,11.01,clear sky,0,0
64,San Patricio,US,2022-01-30 22:50:12,28.017,-97.5169,69.89,61,56,12.3,broken clouds,0,0
65,Mitsamiouli,KM,2022-01-30 22:54:55,-11.3847,43.2844,80.38,74,2,3.69,clear sky,0,0
66,Kualakapuas,ID,2022-01-30 22:54:56,-3.0091,114.3876,75.36,91,100,2.26,overcast clouds,0,0
67,Fairhope,US,2022-01-30 22:53:53,30.523,-87.9033,60.15,64,0,5.01,clear sky,0,0
68,Chumikan,RU,2022-01-30 22:54:57,54.7183,135.315,-3.24,83,100,18.7,overcast clouds,0,0
69,Harper,LR,2022-01-30 22:54:58,4.375,-7.7169,79.52,86,61,7.16,broken clouds,0,0
70,Hit,IQ,2022-01-30 22:54:58,33.6416,42.8251,48.54,61,0,6.55,clear sky,0,0
71,Muyezerskiy,RU,2022-01-30 22:54:59,63.9333,31.65,13.69,96,100,8.48,overcast clouds,0,0
72,Metu,ET,2022-01-30 22:54:59,8.3,35.5833,60.89,52,76,1.88,broken clouds,0,0
73,Cidreira,BR,2022-01-30 22:55:00,-30.1811,-50.2056,73.76,70,5,18.92,clear sky,0,0
74,Miracema Do Tocantins,BR,2022-01-30 22:55:01,-9.5618,-48.3967,73.65,90,98,1.72,overcast clouds,0,0
75,Albany,US,2022-01-30 22:55:02,42.6001,-73.9662,17.46,45,15,4.21,few clouds,0,0
76,Camana,PE,2022-01-30 22:55:02,-16.6228,-72.7111,71.94,72,34,6.73,scattered clouds,0,0
77,Hobart,AU,2022-01-30 22:55:03,-42.8794,147.3294,73.02,70,20,5.75,few clouds,0,0
78,Port Hardy,CA,2022-01-30 22:55:04,50.6996,-127.4199,42.76,87,75,4.61,broken clouds,0,0
79,Swellendam,ZA,2022-01-30 22:55:05,-34.0226,20.4417,68.38,82,78,7.43,broken clouds,0,0
80,Thompson,CA,2022-01-30 22:50:54,55.7435,-97.8558,6.96,72,20,4.61,few clouds,0,0
81,Banjar,ID,2022-01-30 22:55:06,-8.19,114.9675,76.91,90,100,3.36,overcast clouds,0,0
82,Saint-Philippe,RE,2022-01-30 22:55:07,-21.3585,55.7679,76.59,83,43,10.13,scattered clouds,0,0
83,Ribeira Grande,PT,2022-01-30 22:55:07,38.5167,-28.7,59.04,74,56,25.68,broken clouds,0,0
84,Ilulissat,GL,2022-01-30 22:55:08,69.2167,-51.1,-8.68,76,95,10.45,overcast clouds,0,0
85,Srednekolymsk,RU,2022-01-30 22:51:56,67.45,153.6833,-29.49,100,100,2.42,overcast clouds,0,0
86,Marshalltown,US,2022-01-30 22:55:09,42.0494,-92.908,21.97,89,100,0.98,overcast clouds,0,0
87,Lokosovo,RU,2022-01-30 22:55:10,61.1333,74.8167,1.62,98,100,5.93,overcast clouds,0,0
88,Krasnokamensk,RU,2022-01-30 22:55:10,50.0979,118.0369,-17.7,96,7,3.53,clear sky,0,0
89,Stokmarknes,NO,2022-01-30 22:55:11,68.5646,14.9108,25.5,76,100,5.64,overcast clouds,0,0
90,Cherskiy,RU,2022-01-30 22:55:12,68.75,161.3,-28.21,99,99,1.41,overcast clouds,0,0
91,Bull Savanna,JM,2022-01-30 22:55:12,17.8868,-77.5902,70.83,79,61,10.2,broken clouds,0,0
92,Bahia Blanca,AR,2022-01-30 22:55:13,-38.7196,-62.2724,64.29,52,40,13.78,scattered clouds,0,0
93,Qaanaaq,GL,2022-01-30 22:55:13,77.484,-69.3632,-8.57,69,100,6.22,overcast clouds,0,0
94,Hellvik,NO,2022-01-30 22:55:14,59.9156,5.781,35.78,76,100,1.99,overcast clouds,0,0
95,Cayenne,GF,2022-01-30 22:55:14,4.9333,-52.3333,78.1,89,75,3.0,broken clouds,0,0
96,Mersing,MY,2022-01-30 22:55:15,2.4312,103.8405,78.71,83,96,6.91,overcast clouds,0,0
97,Vaini,TO,2022-01-30 22:54:17,-21.2,-175.2,80.55,75,100,12.12,light rain,0,0
98,San Andres,CO,2022-01-30 22:51:45,12.5847,-81.7006,80.62,74,40,9.22,scattered clouds,0,0
99,Shelburne,CA,2022-01-30 22:55:17,44.0787,-80.2041,19.29,94,58,6.8,broken clouds,0,0
100,Lebu,CL,2022-01-30 22:54:14,-37.6167,-73.65,59.13,68,0,20.71,clear sky,0,0
101,Jaunjelgava,LV,2022-01-30 22:55:18,56.6167,25.0833,30.51,97,100,10.92,light snow,0,0
102,Victoria,HK,2022-01-30 22:53:28,22.2855,114.1577,59.25,77,88,1.99,overcast clouds,0,0
103,Mogadishu,SO,2022-01-30 22:53:59,2.0371,45.3438,76.98,78,91,19.95,overcast clouds,0,0
104,Nikolskoye,RU,2022-01-30 22:55:20,59.7035,30.7861,27.39,96,100,5.7,light snow,0,0
105,Marawi,PH,2022-01-30 22:55:20,7.9986,124.2928,65.64,89,33,1.32,scattered clouds,0,0
106,Saskylakh,RU,2022-01-30 22:54:30,71.9167,114.0833,-20.81,100,98,2.62,overcast clouds,0,0
107,Lodja,CD,2022-01-30 22:55:21,-3.4833,23.4333,75.15,69,100,2.33,overcast clouds,0,0
108,Vestmanna,FO,2022-01-30 22:54:12,62.1564,-7.1664,34.72,64,100,34.52,overcast clouds,0,0
109,Kununurra,AU,2022-01-30 22:55:22,-15.7667,128.7333,80.58,78,40,16.11,scattered clouds,0,0
110,Machico,PT,2022-01-30 22:55:22,32.7,-16.7667,65.12,85,40,14.97,scattered clouds,0,0
111,Meulaboh,ID,2022-01-30 22:55:23,4.1363,96.1285,76.21,87,80,3.04,broken clouds,0,0
112,Biskupiec,PL,2022-01-30 22:55:24,53.8647,20.9569,33.62,79,100,23.26,overcast clouds,0,0
113,Iskateley,RU,2022-01-30 22:55:25,67.6803,53.1512,12.74,93,100,14.47,overcast clouds,0,0
114,Pangody,RU,2022-01-30 22:55:25,65.85,74.4859,-3.89,98,99,7.29,overcast clouds,0,0
115,Zabaykalsk,RU,2022-01-30 22:55:26,49.6333,117.3167,-15.41,98,20,5.73,few clouds,0,0
116,Pueblo Nuevo,MX,2022-01-30 22:55:27,23.3833,-105.3833,63.68,27,68,7.27,broken clouds,0,0
117,Margate,GB,2022-01-30 22:55:27,51.3813,1.3862,44.89,79,95,8.01,overcast clouds,0,0
118,Constitucion,CL,2022-01-30 22:50:56,-35.3333,-72.4167,63.43,70,4,18.39,clear sky,0,0
119,Chokurdakh,RU,2022-01-30 22:55:28,70.6333,147.9167,-29.85,94,16,2.64,few clouds,0,0
120,Katangli,RU,2022-01-30 22:55:29,51.7102,143.2326,-1.01,93,100,18.61,overcast clouds,0,0
121,Roald,NO,2022-01-30 22:55:30,62.5833,6.1333,33.33,86,75,9.22,broken clouds,0,0
122,Salalah,OM,2022-01-30 22:55:30,17.0151,54.0924,67.44,68,15,2.57,few clouds,0,0
123,Elizabeth City,US,2022-01-30 22:55:31,36.2946,-76.2511,36.01,59,48,7.07,scattered clouds,0,0
124,Oranjemund,NA,2022-01-30 22:55:31,-28.55,16.4333,66.06,88,82,9.1,broken clouds,0,0
125,Kavieng,PG,2022-01-30 22:55:32,-2.5744,150.7967,82.11,74,91,2.3,light rain,0,0
126,Katsuura,JP,2022-01-30 22:55:33,35.1333,140.3,39.31,50,100,12.66,overcast clouds,0,0
127,Severo-Kurilsk,RU,2022-01-30 22:55:34,50.6789,156.125,28.11,95,100,9.15,snow,0,0
128,Pechenga,RU,2022-01-30 22:55:34,69.5259,31.1703,14.86,98,46,5.46,scattered clouds,0,0
129,Yumen,CN,2022-01-30 22:55:34,40.2833,97.2,13.86,44,100,6.62,overcast clouds,0,0
130,Yulara,AU,2022-01-30 22:55:35,-25.2406,130.9889,73.24,94,100,11.5,overcast clouds,0,0
131,Port-Gentil,GA,2022-01-30 22:55:35,-0.7193,8.7815,81.14,79,95,10.16,overcast clouds,0,0
132,Jijiga,ET,2022-01-30 22:55:36,9.35,42.8,56.95,23,69,8.12,broken clouds,0,0
133,Zonguldak,TR,2022-01-30 22:55:36,41.25,31.8333,32.04,98,100,4.92,light snow,0,0
134,Lingyuan,CN,2022-01-30 22:55:37,41.24,119.4011,20.07,94,98,4.36,snow,0,0
135,Praia Da Vitoria,PT,2022-01-30 22:55:37,38.7333,-27.0667,59.25,88,75,22.62,broken clouds,0,0
136,Yeghegnavan,AM,2022-01-30 22:55:38,39.838,44.6253,27.0,71,54,0.11,broken clouds,0,0
137,Airai,TL,2022-01-30 22:55:39,-8.9266,125.4092,63.84,84,85,4.61,overcast clouds,0,0
138,Bambous Virieux,MU,2022-01-30 22:55:07,-20.3428,57.7575,79.05,94,75,11.5,light intensity shower rain,0,0
139,Calama,CL,2022-01-30 22:55:40,-22.4667,-68.9333,68.49,26,0,23.02,clear sky,0,0
140,Khatanga,RU,2022-01-30 22:52:07,71.9667,102.5,-5.49,98,99,9.46,overcast clouds,0,0
141,Muncar,ID,2022-01-30 22:55:42,-8.4333,114.3333,77.07,88,100,2.26,moderate rain,0,0
142,Nang Rong,TH,2022-01-30 22:55:43,14.6377,102.7914,75.83,76,22,5.46,few clouds,0,0
143,Lorengau,PG,2022-01-30 22:55:43,-2.0226,147.2712,79.09,85,100,12.95,overcast clouds,0,0
144,Namibe,AO,2022-01-30 22:55:44,-15.1961,12.1522,73.11,70,100,5.86,overcast clouds,0,0
145,Zhigansk,RU,2022-01-30 22:55:44,66.7697,123.3711,-33.23,100,100,1.74,overcast clouds,0,0
146,Coquimbo,CL,2022-01-30 22:55:45,-29.9533,-71.3436,67.73,72,0,13.8,clear sky,0,0
147,Sitka,US,2022-01-30 22:55:46,57.0531,-135.33,36.52,93,100,2.37,overcast clouds,0,0
148,Komsomolskiy,UZ,2022-01-30 22:53:00,40.4272,71.7189,29.62,86,100,2.3,mist,0,0
149,Peniche,PT,2022-01-30 22:55:46,39.3558,-9.3811,57.09,76,13,8.05,few clouds,0,0
150,Panaba,MX,2022-01-30 22:55:47,21.2833,-88.2667,69.31,54,65,9.48,broken clouds,0,0
151,Smithers,CA,2022-01-30 22:55:48,54.7804,-127.1743,32.32,80,75,3.44,broken clouds,0,0
152,Sao Filipe,CV,2022-01-30 22:55:48,14.8961,-24.4956,71.51,71,99,13.85,overcast clouds,0,0
153,Los Llanos De Aridane,ES,2022-01-30 22:55:49,28.6585,-17.9182,58.75,78,0,5.99,clear sky,0,0
154,Lexington,US,2022-01-30 22:52:50,37.9887,-84.4777,43.92,52,0,6.91,clear sky,0,0
155,Berlevag,NO,2022-01-30 22:55:50,70.8578,29.0864,30.29,65,100,11.7,light snow,0,0
156,Saint-Augustin,CA,2022-01-30 22:55:37,51.226,-58.6502,15.15,84,99,36.31,overcast clouds,0,0
157,Yellowknife,CA,2022-01-30 22:55:50,62.456,-114.3525,-6.59,83,75,8.05,light snow,0,0
158,Klaksvik,FO,2022-01-30 22:55:51,62.2266,-6.589,36.52,67,100,39.48,overcast clouds,0,0
159,Iranshahr,IR,2022-01-30 22:55:52,27.2025,60.6848,60.75,57,0,2.08,clear sky,0,0
160,Esperance,AU,2022-01-30 22:52:12,-33.8667,121.9,66.04,80,38,16.6,scattered clouds,0,0
161,Colares,PT,2022-01-30 22:55:53,38.7992,-9.4469,57.88,40,0,5.01,clear sky,0,0
162,Evensk,RU,2022-01-30 22:55:53,61.95,159.2333,20.19,78,100,23.42,overcast clouds,0,0
163,Cabo San Lucas,MX,2022-01-30 22:52:08,22.8909,-109.9124,78.62,67,83,3.0,broken clouds,0,0
164,Antofagasta,CL,2022-01-30 22:55:55,-23.65,-70.4,69.08,78,16,7.87,few clouds,0,0
165,Ixtapa,MX,2022-01-30 22:53:35,20.7,-105.2,83.37,39,5,5.14,clear sky,0,0
166,Mar Del Plata,AR,2022-01-30 22:55:56,-38.0023,-57.5575,66.87,84,75,15.01,broken clouds,0,0
167,Buala,SB,2022-01-30 22:55:56,-8.145,159.5921,83.84,74,99,5.06,light rain,0,0
168,Parana,AR,2022-01-30 22:55:57,-31.732,-60.5238,79.47,59,0,2.24,clear sky,0,0
169,Altay,CN,2022-01-30 22:55:57,47.8667,88.1167,3.74,54,40,7.25,scattered clouds,0,0
170,Norman Wells,CA,2022-01-30 22:55:58,65.282,-126.8329,-25.56,68,75,0.0,light snow,0,0
171,Karratha,AU,2022-01-30 22:55:59,-20.7377,116.8463,83.79,60,69,17.11,broken clouds,0,0
172,Asifabad,IN,2022-01-30 22:55:59,19.3667,79.2833,62.73,28,0,1.72,clear sky,0,0
173,Dongsheng,CN,2022-01-30 22:56:00,39.8161,109.9776,6.96,48,0,16.78,clear sky,0,0
174,Bethel,US,2022-01-30 22:56:00,41.3712,-73.414,22.77,55,22,2.82,few clouds,0,0
175,Nanortalik,GL,2022-01-30 22:56:01,60.1432,-45.2371,17.73,83,100,23.31,snow,0,0
176,Hamilton,US,2022-01-30 22:55:36,39.1834,-84.5333,37.18,71,22,4.63,few clouds,0,0
177,Merauke,ID,2022-01-30 22:55:05,-8.4667,140.3333,80.46,78,99,5.35,overcast clouds,0,0
178,Noumea,NC,2022-01-30 22:56:02,-22.2763,166.4572,84.18,99,100,9.69,overcast clouds,0,0
179,Ternate,ID,2022-01-30 22:53:00,0.8,127.4,80.11,77,100,10.13,overcast clouds,0,0
180,Liverpool,GB,2022-01-30 22:56:03,53.4106,-2.9779,47.28,78,75,15.99,broken clouds,0,0
